USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root           1  0.0  0.1  24160 14420 ?        Ss   17:59   0:01 /sbin/init splash
kali        1225  0.0  0.0   8740  4772 ?        S    18:00   0:00 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 11 --address=unix:path=/run/user/1000/at-spi/bus_0
kali        1228  0.0  0.0 308668  7252 ?        Sl   18:00   0:00 /usr/libexec/ibus-portal
kali        1257  0.0  0.1 168740  7536 ?        Sl   18:00   0:00 /usr/libexec/at-spi2-registryd --use-gnome-session
kali        1260  0.0  0.2 631008 20656 ?        Ssl  18:00   0:00 /usr/libexec/xdg-desktop-portal
kali        1268  0.0  0.0 309012  6592 ?        Ssl  18:00   0:00 /usr/libexec/xdg-permission-store
kali        1273  0.0  0.0 613708  7132 ?        Ssl  18:00   0:00 /usr/libexec/xdg-document-portal
root        1280  0.0  0.0   2584  1852 ?        Ss   18:00   0:00 fusermount3 -o rw,nosuid,nodev,fsname=portal,auto_unmount,subtype=portal -- /run/user/1000/doc
kali        1285  0.0  0.3 416164 29196 ?        Ssl  18:00   0:00 /usr/libexec/xdg-desktop-portal-gtk
kali        1290  0.0  0.1 169448  7480 ?        Sl   18:00   0:02 /usr/libexec/ibus-engine-simple
root        1302  0.0  0.0 309556  7168 ?        Ssl  18:00   0:00 /usr/libexec/power-profiles-daemon
kali        1306  0.0  0.0  10928  1920 ?        Ss   18:00   0:00 /usr/bin/ssh-agent -s
kali        1319  0.0  0.0  81740  3620 ?        SLs  18:00   0:00 /usr/bin/gpg-agent --supervised
kali        1323  1.6  1.8 1287656 135080 ?      Sl   18:00   1:02 xfwm4
kali        1346  0.0  0.4 281772 33148 ?        Sl   18:00   0:01 xfsettingsd
kali        1351  0.0  0.0 165332  6012 ?        Ssl  18:00   0:00 /usr/libexec/dconf-service
kali        1355  0.6  0.8 550216 60504 ?        Sl   18:00   0:26 xfce4-panel
kali        1360  0.7  0.8 1091960 62404 ?       Sl   18:00   0:29 Thunar --daemon
kali        1366  0.1  1.0 534484 76068 ?        Sl   18:00   0:04 xfdesktop
kali        1370  0.0  0.6 594476 51544 ?        Sl   18:00   0:01 /usr/lib/x86_64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/x86_64-linux-gnu/xfce4/panel/plugins/libwhiskermenu.so 1 25165831 whiskermenu Menú Whisker Mostrar un menú para acceder fácilmente a las aplicaciones instaladas
kali        1374  0.4  1.0 255268 78924 ?        Sl   18:00   0:16 /usr/lib/x86_64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/x86_64-linux-gnu/xfce4/panel/plugins/libcpugraph.so 13 25165836 cpugraph Gráfico del procesador Gráfico de la carga del procesador
kali        1375  0.0  0.3 415888 29180 ?        Sl   18:00   0:00 /usr/lib/x86_64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/x86_64-linux-gnu/xfce4/panel/plugins/libsystray.so 14 25165837 systray Bandeja de estado Proporciona notificaciones de estado (indicadores de aplicación) y elementos de la bandeja del sistema heredada
kali        1376  0.2  0.4 278468 32640 ?        Sl   18:00   0:08 /usr/lib/x86_64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/x86_64-linux-gnu/xfce4/panel/plugins/libgenmon.so 15 25165838 genmon Monitor genérico Mostrar la salida de una orden.
kali        1377  0.0  0.6 376884 45972 ?        Sl   18:00   0:00 /usr/lib/x86_64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/x86_64-linux-gnu/xfce4/panel/plugins/libpulseaudio-plugin.so 16 25165839 pulseaudio PulseAudio Ajusta el volumen del sistema de sonido PulseAudio
kali        1378  0.0  0.5 443076 44808 ?        Sl   18:00   0:00 /usr/lib/x86_64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/x86_64-linux-gnu/xfce4/panel/plugins/libnotification-plugin.so 17 25165840 notification-plugin Notificaciones Notificaciones para el panel de Xfce
kali        1379  0.1  0.6 303952 46204 ?        Sl   18:00   0:04 /usr/lib/x86_64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/x86_64-linux-gnu/xfce4/panel/plugins/libxfce4powermanager.so 18 25165841 power-manager-plugin Gestor de energía Muestra los niveles de la batería de los dispositivos y controla el brillo de la pantalla
kali        1387  0.0  0.5 443336 44316 ?        Sl   18:00   0:00 /usr/lib/x86_64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/x86_64-linux-gnu/xfce4/panel/plugins/libactions.so 22 25165842 actions Botones de acción Cerrar sesión, bloquear sesión u otras acciones del sistema
root        1415  0.0  0.1 319504 10900 ?        Ssl  18:00   0:01 /usr/libexec/upowerd
kali        1426  0.0  0.2 407920 20024 ?        Ssl  18:00   0:00 /usr/lib/x86_64-linux-gnu/xfce4/notifyd/xfce4-notifyd
kali        1428  0.1  0.8 604716 60936 ?        Sl   18:00   0:06 plank
kali        1432  0.0  1.1 1111488 88232 ?       Sl   18:00   0:00 /usr/libexec/evolution-data-server/evolution-alarm-notify
kali        1436  0.0  0.3 734052 29840 ?        SNl  18:00   0:00 /usr/libexec/tracker-miner-fs-3
kali        1443  0.0  0.1 857508  9496 ?        Sl   18:00   0:00 xiccd
